Rest Timestamp,Executor,Process Owner,Rest Operation ID,Rest Object ID,Rest Object Description,Rest Time (min),Rest Dissolved,Notes,,,,,,,,,,,,,,,,,,
2024-03-13T12:24:00,lteresa,dasb,RST-2024-03-13T12:24:00-lteresa:02-000005for5min,02-000005,1M PbBr2 in HBr,5,Y,Timestamp and Rest Time Guesstimated,,,,,,,,,,,,,,,,,,
2024-03-13T12:21:00,lteresa,dasb,RST-2024-03-13T12:21:00-lteresa:02-000006for5min,02-000006,0.8M PbBr2 in HBr,5,Y,Timestamp and Rest Time Guesstimated,,,,,,,,,,,,,,,,,,
2024-03-14T12:10:00,dasb,dasb,RST-2024-03-14T12:10:00-dasb:02-000009for5min,02-000009,1M BiBr3 in HBr,5,Y,Timestamp and Rest Time Guesstimated,,,,,,,,,,,,,,,,,,
2024-03-14T12:10:00,dasb,dasb,RST-2024-03-14T12:10:00-dasb:02-000010for5min,02-000010,0.8M BiBr3 in HBr,5,Y,Timestamp and Rest Time Guesstimated,,,,,,,,,,,,,,,,,,
2024-03-14T12:10:00,dasb,dasb,RST-2024-03-14T12:10:00-dasb:02-000011for5min,02-000011,0.5M BiBr3 in HBr,5,Y,Timestamp and Rest Time Guesstimated,,,,,,,,,,,,,,,,,,
2024-03-14T12:10:00,dasb,dasb,RST-2024-03-14T12:10:00-dasb:02-000012for5min,02-000012,0.2M BiBr3 in HBr,5,Y,Timestamp and Rest Time Guesstimated,,,,,,,,,,,,,,,,,,
2024-03-15T12:20:00,dasb,dasb,RST-2024-03-15T12:20:00-dasb:02-000013for5min,02-000013,1M BiBr3 in HBr,5,Y,Timestamp and Rest Time Guesstimated,,,,,,,,,,,,,,,,,,
2024-03-15T12:20:00,dasb,dasb,RST-2024-03-15T12:20:00-dasb:02-000014for5min,02-000014,1M CsCH3COO in HBr,5,Y,Timestamp and Rest Time Guesstimated,,,,,,,,,,,,,,,,,,
2024-03-22T12:10:00,dasb,dasb,RST-2024-03-22T12:10:00-dasb:02-000015for5min,02-000015,1M CsCH3COO in HBr,5,Y,Timestamp and Rest Time Guesstimated,,,,,,,,,,,,,,,,,,
2024-03-22T12:10:00,dasb,dasb,RST-2024-03-22T12:10:00-dasb:02-000016for5min,02-000016,1M SbBr3 in HBr,5,Y,Timestamp and Rest Time Guesstimated,,,,,,,,,,,,,,,,,,
