Heat Timestamp,Executor,Process Owner,Heat Operation ID,Heat Object ID,Heat Object Type,Heat Object Description,Heat Temp (C),Heat Time (min),Heat Dissolve,Notes
2024-03-22T12:05:00,dasb,dasb,HT-2024-03-22T12:05:00-dasb:02-000028at120Cfor10min,02-000028,Precursor,1M PbI2 in HI,120,10,Y,Timestamp Guesstimated
2024-03-22T12:05:00,dasb,dasb,HT-2024-03-22T12:05:00-dasb:02-000029at120Cfor10min,02-000029,Precursor,0.8M PbI2 in HI,120,10,Y,Timestamp Guesstimated
2024-03-22T12:05:00,dasb,dasb,HT-2024-03-22T12:05:00-dasb:02-000030at120Cfor10min,02-000030,Precursor,0.5M PbI2 in HI,120,10,Y,Timestamp Guesstimated
2024-03-22T12:05:00,dasb,dasb,HT-2024-03-22T12:05:00-dasb:02-000031at120Cfor10min,02-000031,Precursor,0.2M PbI2 in HI,120,10,Y,Timestamp Guesstimated
2024-03-22T12:05:00,dasb,dasb,HT-2024-03-22T12:05:00-dasb:02-000032at120Cfor10min,02-000032,Precursor,0.8M CsCH3COO in HI,120,10,Y,Timestamp Guesstimated
2024-03-27T12:05:00,lteresa,dasb,HT-2024-03-27T12:05:00-lteresa:02-000033at150Cfor15min,02-000033,Precursor,1M CsCH3COO in HI,150,15,Y,Timestamp Guesstimated
2024-03-27T12:05:00,lteresa,dasb,HT-2024-03-27T12:05:00-lteresa:02-000034at150Cfor15min,02-000034,Precursor,0.8M CsCH3COO in HI,150,15,Y,Timestamp Guesstimated
2024-03-27T12:05:00,lteresa,dasb,HT-2024-03-27T12:05:00-lteresa:02-000035at150Cfor15min,02-000035,Precursor,0.5M CsCH3COO in HI,150,15,Y,Timestamp Guesstimated
2024-03-27T12:05:00,lteresa,dasb,HT-2024-03-27T12:05:00-lteresa:02-000036at150Cfor15min,02-000036,Precursor,0.2M CsCH3COO in HI,150,15,Y,Timestamp Guesstimated
2024-03-27T12:05:00,lteresa,dasb,HT-2024-03-27T12:05:00-lteresa:02-000037at120Cfor10min,02-000037,Precursor,0.2M SbI3 in HI,120,10,Y,Timestamp Guesstimated
2024-03-28T12:05:00,dasb,dasb,HT-2024-03-28T12:05:00-dasb:02-000038at120Cfor5min,02-000038,Precursor,1M CsCH3COO in HBr,120,5,Y,Timestamp Guesstimated
2024-03-28T12:05:00,dasb,dasb,HT-2024-03-28T12:05:00-dasb:02-000039at120Cfor5min,02-000039,Precursor,1M PbI2 in HBr,120,5,Y,Timestamp Guesstimated
2024-03-29T12:05:00,lteresa,dasb,HT-2024-03-29T12:05:00-lteresa:02-000040at120Cfor15min,02-000040,Precursor,1M CsI in HI,120,15,N,Timestamp Guesstimated
2024-03-29T12:05:00,lteresa,dasb,HT-2024-03-29T12:05:00-lteresa:02-000041at120Cfor15min,02-000041,Precursor,0.8M CsI in HI,120,15,N,Timestamp Guesstimated
2024-03-29T12:05:00,lteresa,dasb,HT-2024-03-29T12:05:00-lteresa:02-000042at120Cfor15min,02-000042,Precursor,0.5M CsI in HI,120,15,N,Barely Dissolved. Timestamp Guesstimated
2024-03-29T12:05:00,lteresa,dasb,HT-2024-03-29T12:05:00-lteresa:02-000043at120Cfor15min,02-000043,Precursor,0.2M CsI in HI,120,15,Y,Timestamp Guesstimated
2024-04-01T12:05:00,lteresa,dasb,HT-2024-04-01T12:05:00-lteresa:02-000040at150Cfor30min,02-000040,Precursor,1M CsI in HI,150,30,N,Let cool over weeked and re-tried at higher temp.  Timestamp Guesstimated
2024-04-01T12:05:00,lteresa,dasb,HT-2024-04-01T12:05:00-lteresa:02-000044at150Cfor20min,02-000044,Precursor,1M SbI3 in HI,150,20,Y,Timestamp Guesstimated
2024-04-02T12:05:00,lteresa,dasb,HT-2024-04-02T12:05:00-lteresa:02-000045at120Cfor10min,02-000045,Precursor,1M RbBr in HBr,120,10,Y,Timestamp Guesstimated
2024-04-02T12:05:00,lteresa,dasb,HT-2024-04-02T12:05:00-lteresa:02-000046at120Cfor10min,02-000046,Precursor,0.8M RbBr in HBr,120,10,Y,Timestamp Guesstimated
